*test row do not delete*,Department of Unit Tests,TRAIN,,,5_current,http://art.washington.edu/calendar/
*test row do not delete*,Department of Unit Tests,TRAIN,,,past,
*test row do not delete*,Department of Unit Tests,TRAIN,,,far_future,
*test row do not delete*,Department of Other Unit Tests,,TRAINR,,2_current,
*test row do not delete*,Department of Other Unit Tests,,TRAINR,,5_current,http://art.washington.edu/calendar/
*test row do not delete*,Department of Other Unit Tests,,TRAINR,,future_1,
*test row do not delete*,Department of Other Unit Tests,,,UPCOM,future_1,
*test row do not delete*,Department of Other Unit Tests,,,UPCOM,far_future,
*test row do not delete*,Department of Other Unit Tests,,,UPCOM,past,
*test row do not delete*,Department of Other Unit Tests,,UPCOM2,,future_2,
,BIOLOGY                                 ,BIOLOGY                 ,,,sea_bio,Business ,
,BIOLOGY                                 ,BIOLOGY (GENERAL)       ,,,sea_bio,No,
,BIOLOGY                                 ,"BIOLOGY (MOLEC,CELL,DEV)",,,sea_bio,No,
,BIOLOGY                                 ,BIOLOGY (PHYSIOLOGY)    ,,,sea_bio,No,
,BIOLOGY                                 ,BIOLOGY (PLANT)         ,,,sea_bio,No,
,BIOLOGY                                 ,"BIO:ECOL,EVOL,& CONSER  ",,,sea_bio,No,
,BIOLOGY                                 ,,PALEOBIOLOGY            ,,sea_bio,No,
,BIOLOGY                                 ,,,BIOLOGY                 ,sea_bio,No,
,BIOLOGY                                 ,,,BIOLOGY & ASTROBIOLOGY  ,sea_bio,No,
,BIOLOGY                                 ,,,ZOOLOGY                 ,sea_bio,No,
,BIOLOGY TEACHING GROUP                  ,,,BIOLOGY TEACHING        ,,,
,BIOMEDICAL INFORMATICS & MEDICAL EDUC   ,,,BIOMED & HEALTH INFORM  ,,,
,BIOSTATISTICS                           ,,,BIOSTATISTICS           ,,,
,BIOSTATISTICS                           ,,,BIOSTATISTICS           ,,,
,BIOSTATISTICS                           ,,,BIOST: STAT GENETICS    ,,,
,BIOSTATISTICS                           ,,,BIOSTATISTICS (CLIN RES),,,
,BOTHELL CAMPUS EXCHANGE                 ,EXCHANGE UW BOTHELL     ,,,,,
,BOTHELL CAMPUS EXCHANGE                 ,EXCHANGE BUS ADMIN      ,,,,,
,BOTHELL CAMPUS EXCHANGE                 ,EXCHANGE ELEC ENGR      ,,,,,
,BOTHELL CAMPUS EXCHANGE                 ,,,EXCHANGE UW BOTHELL     ,,,
,BOTHELL CAMPUS EXCHANGE                 ,,,EXCHANGE BUS ADMIN      ,,,
,BOTHELL CAMPUS EXCHANGE                 ,,,EXCHANGE ELEC ENGR      ,,,
,BOTHELL CAMPUS VISITING                 ,BOTHELL SPECIAL STUDENT ,,,,,
,BOTHELL CAMPUS VISITING                 ,BOTHELL VISITING STUDENT,,,,,
,BOTHELL CAMPUS VISITING                 ,,,BOTHELL VISITING STUDENT,,,
,BUILT ENVIRONMENT                       ,,,BUILT ENVIRONMENT       ,,,
,BUSINESS ADMINISTRATION                 ,BUSINESS ADMINISTRATION ,,,sea_bus_undergraduate,Yes,
,BUSINESS ADMINISTRATION                 ,BUSINESS ADMIN VISITING ,,,,,
,BUSINESS ADMINISTRATION                 ,CERTIF INTERNATIONAL BUS,,,sea_bus_ucis sea_bus_undergraduate,No (sea_bus-ucis); Fixed 4/2,
,BUSINESS ADMINISTRATION                 ,BUS ADMIN (ENTREPRENEUR),,,sea_buerk sea_bus_undergraduate,Yes,
,BUSINESS ADMINISTRATION                 ,BUS ADMIN (FINANCE)     ,,,sea_fin sea_bus_undergraduate,Yes,
,BUSINESS ADMINISTRATION                 ,BUS ADMIN (HUM RES MGT) ,,,sea_bus_undergraduate,Yes,
,BUSINESS ADMINISTRATION                 ,BUS ADMIN (INFOR SYS)   ,,,sea_is sea_bus_undergraduate,Yes,
,BUSINESS ADMINISTRATION                 ,BUS ADMIN (MARKETING)   ,,,sea_salesmark sea_bus_undergraduate,Yes,
