Title,OLD Fac Code,NEW Building ID,OLD Post URL,OLD Resolved URL,OLD Query String URL,NEW URL,Notes
Roosevelt Commons East (RVC),RVC,1028810,https://www.washington.edu/maps/2011/04/28/roosevelt-commons/,https://www.washington.edu/maps/#!/RVC,https://www.washington.edu/maps/?RVC,https://map.uw.edu/?id=2099#!m/1028810?share,Associated Fac Code(s): RCE
Roosevelt Commons West,roosevelt-commons-west,1028812,https://www.washington.edu/maps/2015/06/24/roosevelt-commons-west/,https://www.washington.edu/maps/#!/roosevelt-commons-west,https://www.washington.edu/maps/?roosevelt-commons-west,https://map.uw.edu/?id=2099#!m/1028812?share,Associated Fac Code(s): RCW
Rosen Building (RSN),RSN,,https://www.washington.edu/maps/2011/04/28/rosen-building/,https://www.washington.edu/maps/#!/RSN,https://www.washington.edu/maps/?RSN,https://map.uw.edu/,SLU not on the new map
Russell Hall,russell-hall,1026064,https://www.washington.edu/maps/2015/10/28/russell-hall/,https://www.washington.edu/maps/#!/russell-hall,https://www.washington.edu/maps/?russell-hall,https://map.uw.edu/?id=2099#!m/1026064?share,Associated Fac Code(s): L125
Samuel E. Kelly Ethnic Cultural Center (ECC1),ECC1,1028860,https://www.washington.edu/maps/2011/04/28/ethnic-cultural-center/,https://www.washington.edu/maps/#!/ECC1,https://www.washington.edu/maps/?ECC1,https://map.uw.edu/?id=2099#!m/1028860?share,Associated Fac Code(s): ECC
Savery Hall (SAV),SAV,975351,https://www.washington.edu/maps/2011/04/28/savery-hall/,https://www.washington.edu/maps/#!/SAV,https://www.washington.edu/maps/?SAV,https://map.uw.edu/?id=2099#!m/975351?share,
Schmitz Hall (SMZ),SMZ,1028813,https://www.washington.edu/maps/2011/04/28/schmitz-hall/,https://www.washington.edu/maps/#!/SMZ,https://www.washington.edu/maps/?SMZ,https://map.uw.edu/?id=2099#!m/1028813?share,
Shellhouse Annex 1 (SHA),SHA,975186,https://www.washington.edu/maps/2011/04/28/shellhouse-annex-1/,https://www.washington.edu/maps/#!/SHA,https://www.washington.edu/maps/?SHA,https://map.uw.edu/?id=2099#!m/975186?share,
Smith Hall (SMI),SMI,973202,https://www.washington.edu/maps/2011/04/28/smith-hall/,https://www.washington.edu/maps/#!/SMI,https://www.washington.edu/maps/?SMI,https://map.uw.edu/?id=2099#!m/973202?share,
Social Work / Speech &amp; Hearing Sciences Building (SWS),SWS,969836,https://www.washington.edu/maps/2011/04/28/social-workspeech-and-hearing-sciences-building/,https://www.washington.edu/maps/#!/SWS,https://www.washington.edu/maps/?SWS,https://map.uw.edu/?id=2099#!m/969836?share,
