Kirsten Wnd Tunnel (KIR),http://www.washington.edu/maps/?KIR,"47.65442,-122.305832"
Laurel Village Building C (LAVC),http://www.washington.edu/maps/?LAVC,"47.660099095346,-122.29162366138"
Laurel Village Building M (LAVM),http://www.washington.edu/maps/?LAVM,"47.660740291274,-122.29208247487"
Laurel Village Building N (LAVN),http://www.washington.edu/maps/?LAVN,"47.660744321776,-122.29162774603"
Laurel Village Building P (LAVP),http://www.washington.edu/maps/?LAVP,"47.6607370957,-122.29109966138"
Laurel Village Building Q (LAVQ),http://www.washington.edu/maps/?LAVQ,"47.660491095563,-122.29061666138"
Laurel Village Building R (LAVR),http://www.washington.edu/maps/?LAVR,"47.660360904525,-122.2917230172"
Laurel Village Building S (LAVS),http://www.washington.edu/maps/?LAVS,"47.660304904556,-122.29124640741"
Laurel Village Building T (LAVT),http://www.washington.edu/maps/?LAVT,"47.660258,-122.2906652037"
Laurel Village Building U (LAVU),http://www.washington.edu/maps/?LAVU,"47.659998547643,-122.2906162037"
Laurel Village Building V (LAVV),http://www.washington.edu/maps/?LAVV,"47.659787,-122.29048"
Laurel Village Building W (LAVW),http://www.washington.edu/maps/?LAVW,"47.659434,-122.29076311905"
Laurel Village Building X (LAVX),http://www.washington.edu/maps/?LAVX,"47.659460905022,-122.2911222037"
Laurel Village Building Y (LAVY),http://www.washington.edu/maps/?LAVY,"47.659860547605,-122.29129366138"
Lewis Annex 2 (A&S) (LA2),http://www.washington.edu/maps/?LA2,"47.659073415873,-122.30487537302"
Lewis Hall (LEW),http://www.washington.edu/maps/?LEW,"47.6588188683,-122.305343"
Loew Hall (LOW),http://www.washington.edu/maps/?LOW,"47.654282,-122.304556"
Mackenzie Hall (MKZ),http://www.washington.edu/maps/?MKZ,"47.65878,-122.307239"
Magnuson Health Sciences Center A (HSA),http://www.washington.edu/maps/?HSA,"47.650158,-122.308168"
Magnuson Health Sciences Center Aa (HSAA),http://www.washington.edu/maps/?HSAA,"47.649701,-122.30844"
Magnuson Health Sciences Center B (HSB),http://www.washington.edu/maps/?HSB,"47.649748,-122.308866"
Magnuson Health Sciences Center Bb (HSBB),http://www.washington.edu/maps/?HSBB,"47.649665,-122.307771"
Magnuson Health Sciences Center C (HSC),http://www.washington.edu/maps/?HSC,"47.65018,-122.308659"
Magnuson Health Sciences Center D (HSD),http://www.washington.edu/maps/?HSD,"47.650145,-122.309264"
Magnuson Health Sciences Center E (HSE),http://www.washington.edu/maps/?HSE,"47.650571,-122.309255"
Magnuson Health Sciences Center F (HSF),http://www.washington.edu/maps/?HSF,"47.6505,-122.309834"
Magnuson Health Sciences Center G (HSG),http://www.washington.edu/maps/?HSG,"47.650822,-122.30997"
Magnuson Health Sciences Center H (HSH),http://www.washington.edu/maps/?HSH,"47.65064,-122.310645"
Magnuson Health Sciences Center I (HSI),http://www.washington.edu/maps/?HSI,"47.651099,-122.310709"
Magnuson Health Sciences Center J (HSJ),http://www.washington.edu/maps/?HSJ,"47.651398,-122.311221"
Magnuson Health Sciences Center K (HSK),http://www.washington.edu/maps/?HSK,"47.651108,-122.311646"
Magnuson Health Sciences Center Rr (HSRR),http://www.washington.edu/maps/?HSRR,"47.649403,-122.3083"
Magnuson Health Sciences Center T (HST),http://www.washington.edu/maps/?HST,"47.650896,-122.309108"
Maple Hall (MAH),http://www.uw.edu/maps/?mah,"1135 NE Campus Parkway,
Marine Sciences Building (MSB),http://www.washington.edu/maps/?MSB,"47.649885,-122.312928"
Marine Studies Building (MAR),http://www.washington.edu/maps/?MAR,"47.652478,-122.31494"
Mary Gates Hall (MGH),http://www.washington.edu/maps/?MGH,"47.654829,-122.307751"
McCarty Hall (MCC),http://www.washington.edu/maps/?MCC,"47.660415130621,-122.30454832143"
McMahon Hall (MCM),http://www.washington.edu/maps/?MCM,"47.658188,-122.303669"
Meany Hall (MNY),http://www.washington.edu/maps/?MNY,"47.655541773204,-122.31057218651"
Mechanical Engineering Building (MEB),http://www.washington.edu/maps/?MEB,"47.653729135248,-122.30488647487"
Medal of Honor Memorial (LNDMK-6),http://www.washington.edu/maps/?LNDMK-6,"47.657334,-122.309675"
Mercer Hall (MCR),http://www.washington.edu/maps/?MCR,"47.654501,-122.31738"
Merrill Hall (NMH),http://www.washington.edu/maps/?NMH,"47.657747017441,-122.29047272883"
Miller Hall (MLR),http://www.washington.edu/maps/?MLR,"47.657207,-122.306328"
Molecular Engineering (MOL),http://www.washington.edu/maps/?MOL,"47.654414123896,-122.30991384789"
More Hall (MOR),http://www.washington.edu/maps/?MOR,"47.652496227218,-122.30486672884"
More Hall Annex (NRB),http://www.washington.edu/maps/?NRB,"47.652765,-122.30456674603"
Mueller Hall (MUE),http://www.washington.edu/maps/?MUE,"47.652232,-122.305364"
Music Building (MUS),http://www.washington.edu/maps/?MUS,"47.657609187952,-122.30577327116"
Nordstrom Tennis Center (NTC),http://www.washington.edu/maps/?NTC,"47.65187345461,-122.3001892037"
North Physics Laboratory (Cyclotron Building) (NPC),http://www.washington.edu/maps/?NPC,"47.659606190163,-122.30305972884"
North Physics Laboratory (Cyclotron Shop) (NPS),http://www.washington.edu/maps/?NPS,"47.659107,-122.302907"
North Physics Laboratory (Van De Graaff Accelerator) (NPV),http://www.washington.edu/maps/?NPV,"47.659957869088,-122.30284027117"
Northlake Building (NLB),http://www.washington.edu/maps/?NLB,"47.655032,-122.319025"
Northwest Horticultural Society Hall (NHS),http://www.washington.edu/maps/?NHS,"47.658006188391,-122.2903042037"
Ocean Research Bldg. #2 (OR2),http://www.washington.edu/maps/?OR2,"47.652406544802,-122.31419590675"
Ocean Sciences Building (OCN),http://www.washington.edu/maps/?OCN,"47.65130868215,-122.31265262698"
Oceanography Building (OCE),http://www.washington.edu/maps/?OCE,"47.649177821447,-122.31071928836"
Oceanography Dock Building (ODB),http://www.washington.edu/maps/?ODB,"47.648849138624,-122.311021"
Oceanography Storage Shed (OSS),http://www.washington.edu/maps/?OSS,"47.648679,-122.310449"
Oceanography Teaching Building (OTB),http://www.washington.edu/maps/?OTB,"47.650280682577,-122.31233418651"
Odegaard Undergraduate Library (OUG),http://www.washington.edu/maps/?OUG,"47.65646093404,-122.3104401865"
PACCAR Hall (PCAR),http://www.washington.edu/maps/?PCAR,"47.6591947218,-122.308757868"
Padelford Hall (PDL),http://www.washington.edu/maps/?PDL,"47.656998,-122.304243"
Parrington Hall (PAR),http://www.washington.edu/maps/?PAR,"47.65744,-122.31032"
Paul G. Allen Center For Computer Science & Engineering (CSE),http://www.washington.edu/maps/?CSE,"47.653154274553,-122.30588783069"
