Category,Subcategory,affiliation,Central (not campus specific),Central Title,Seattle,Seattle (link text),Bothell (destination URL),Bothell (link text),Tacoma,Tacoma Title,Open in a new tab?
Events & Activities,Stay Connected,all,http://www.facebook.com/UofWA,UW Facebook Page,,,http://www.facebook.com/uwbothell,UW Bothell Facebook Page,http://www.facebook.com/uwtacoma,UW Tacoma Facebook Page,no
Events & Activities,Stay Connected,all,http://www.youtube.com/user/uwhuskies,UW YouTube Channel,,,http://www.youtube.com/user/uwbothell,UW Bothell YouTube Channel,http://www.youtube.com/user/uwTacomaAdvancement,UW Tacoma YouTube Channel,no
Events & Activities,Stay Connected,all,http://instagram.com/uofwa,UW Instagram,,,http://instagram.com/UW_BOTHELL,UW Bothell Instagram,,,no
Events & Activities,Stay Connected,all,http://twitter.com/UW,UW Twitter,,,http://twitter.com/UWBothell,UW Bothell Twitter,,,no
Events & Activities,Stay Connected,all,http://www.linkedin.com/company/university-of-washington,UW LinkedIn,,,https://www.linkedin.com/groups/University-Washington-Bothell-92858?home=&gid=92858,UW Bothell LinkedIn,,,no
Events & Activities,Student Clubs & Organizations,all,https://uws-community.symplicity.com/?s=student_group,Registered Student Organizations (RSO) Directory,,,http://www.bothell.washington.edu/sea/clubs/join,Club Directory,https://dawgden.tacoma.uw.edu/Organizations,UW Tacoma Clubs & Organizations,no
Libraries,,all,https://eres.lib.washington.edu/,Electronic Course Reserves,,,,,,,yes
Libraries,,all,http://lib.washington.edu/,UW Libraries,,,http://library.uwb.edu/,UW Bothell Library,http://www.tacoma.uw.edu/library,UW Tacoma Library,no
Libraries,,,search.lib.uw.edu/account,Your Library Account,,,,,,,
Libraries,,,guides.lib.uw.edu/az.php,Articles and Research Databases,,,,,,,
Libraries,,,guides.lib.uw.edu/research/ejournals,Electronic Journals,,,,,,,
Libraries,,,offcampus.lib.washington.edu/login?url=http://ncbi.nlm.nih.gov/pubmed?myncbishare=uwonline,PubMed,,,,,,,
Libraries,,,hsl.uw.edu/toolkits/care-provider,Care Provider Toolkit,,,,,,,
Libraries,,,hsl.uw.edu,Health Sciences Library,,,,,,,
Libraries,,,lib.washington.edu/types,Start Your Research,,,,,,,
Student Finances,Financial Aid,all,http://www.washington.edu/students/osfa/,Financial Aid and Scholarships,,,http://www.bothell.washington.edu/financialaid,Financial Aid and Scholarships,http://www.tacoma.uw.edu/uwt/financial-aid,Financial Aid and Scholarships,no
Student Finances,Financial Aid,all,https://sdb.admin.uw.edu/sisStudents/uwnetid/finaidstatus.aspx,Financial Aid Status,,,,,,,yes
Student Finances,Financial Aid,grad,http://www.lib.washington.edu/commons/services/gfis,Graduate Funding Information Service (GFIS),,,,,,,no
Student Finances,Taxes,all,https://sdb.admin.uw.edu/sisStudents/uwnetid/irs1098t.aspx,Form 1098-T,,,,,,,yes
Student Finances,Taxes,all,http://f2.washington.edu/fm/sfs/tax,Student Tax Information,,,,,,,no
Student Finances,Tuition,all,http://f2.washington.edu/fm/sfs/tuition,Tuition Overview,,,,,,,no
Teaching,Course Evaluation,,washington.edu/cec,Course Evaluation Catalog ,,,,,,,
Teaching,Course Evaluation,,uw.iasystem.org/faculty,My Course Evaluations,,,https://uwb.iasystem.org/faculty,My Course Evaluations,https://uwt.iasystem.org/faculty,My Course Evaluations,
Teaching,Course Evaluation,,http://www.washington.edu/assessment/course-evaluations/,Course Evaluations,,,,,http://www.tacoma.uw.edu/teaching-learning-technology/iasystem-course-evaluations,Course Evaluations,
Teaching,Course Materials,,http://www.ubookstore.com/faculty,Order Textbooks,,,,,,,
Teaching,Course Materials,,,Request Course Packs,,,,,,,
Teaching,Course Materials,,lib.washington.edu/types/course/instructors/request,Request Course Reserves,,,,,,,
Teaching,Grading,,gradepage.uw.edu,GradePage,,,,,,,
Teaching,Grading,,https://apps.registrar.washington.edu/grade-change/pages/change.php,Change Submitted Grades,,,,,,,
Teaching,Grading,,depts.washington.edu/grading,Faculty Resource on Grading,,,https://www.uwb.edu/registration/policies/grading,Grading Policies,http://www.tacoma.uw.edu/node/37545,Grading Policy,
Teaching,In-Class Tools,,canvas.uw.edu,Canvas,,,,,,,
Teaching,In-Class Tools,,panopto.uw.edu,Panopto,,,,,,,
Teaching,In-Class Tools,,,Poll Everywhere,,,,,,,
